sgbid	sgbname	tax_k	tax_p	tax_c	tax_o	tax_f	tax_g	tax_s	terminal_sgb	is_human_pathogen	assigned_pathogen_name	assigned_pathogen_taxid
20226	SGB20226	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Crocinitomicaceae	g__Crocinitomicaceae_unclassified	s__Crocinitomicaceae_bacterium	t__SGB20226	no	NA	NA
20227	SGB20227	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriales_unclassified	g__Flavobacteriales_unclassified	s__Flavobacteriales_bacterium	t__SGB20227	no	NA	NA
20228	SGB20228	k__Bacteria	p__Fibrobacteres	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__Fibrobacter	s__Fibrobacter_sp_UWRM	t__SGB20228	no	NA	NA
20230	SGB20230	k__Bacteria	p__Fibrobacteres	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__Fibrobacter	s__Fibrobacter_sp_UWR4	t__SGB20230	no	NA	NA
20234	SGB20234	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Dyadobacter	s__Dyadobacter_jejuensis	t__SGB20234	no	NA	NA
20235	SGB20235	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Dyadobacter	s__Dyadobacter_tibetensis	t__SGB20235	no	NA	NA
20236	SGB20236	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Dyadobacter	s__Dyadobacter_sp_RS19	t__SGB20236	no	NA	NA
20237	SGB20237	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Dyadobacter	s__Dyadobacter_sp	t__SGB20237	no	NA	NA
20238	SGB20238	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Dyadobacter	s__Dyadobacter_jiangsuensis	t__SGB20238	no	NA	NA
20239	SGB20239	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Dyadobacter	s__Dyadobacter_beijingensis	t__SGB20239	no	NA	NA
20240	SGB20240	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Dyadobacter	s__Dyadobacter_alkalitolerans	t__SGB20240	no	NA	NA
20241	SGB20241	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Dyadobacter	s__Dyadobacter_crusticola	t__SGB20241	no	NA	NA
20243	SGB20243	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Crocinitomicaceae	g__Crocinitomicaceae_unclassified	s__Crocinitomicaceae_bacterium	t__SGB20243	no	NA	NA
20244	SGB20244	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriales_unclassified	g__Flavobacteriales_unclassified	s__Flavobacteriales_bacterium	t__SGB20244	no	NA	NA
20245	SGB20245	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriales_unclassified	g__Flavobacteriales_unclassified	s__Flavobacteriales_bacterium_BRH_c54	t__SGB20245	no	NA	NA
20246	SGB20246	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriales_unclassified	g__Flavobacteriales_unclassified	s__Flavobacteriales_bacterium	t__SGB20246	no	NA	NA
20247	SGB20247	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriales_unclassified	g__Flavobacteriales_unclassified	s__Flavobacteriales_bacterium	t__SGB20247	no	NA	NA
20248	SGB20248	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes_unclassified	o__Bacteroidetes_unclassified	f__Bacteroidetes_unclassified	g__Bacteroidetes_unclassified	s__Bacteroidetes_bacterium	t__SGB20248	no	NA	NA
20249	SGB20249	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__Ferruginibacter_sp	t__SGB20249	no	NA	NA
20250	SGB20250	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Cytophagaceae	g__Cytophaga	s__Cytophaga_aurantiaca	t__SGB20250	no	NA	NA
20251	SGB20251	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes_unclassified	o__Bacteroidetes_unclassified	f__Bacteroidetes_unclassified	g__Bacteroidetes_unclassified	s__Bacteroidetes_bacterium_RIFCSPLOWO2_12_FULL_35_15	t__SGB20251	no	NA	NA
20252	SGB20252	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_propionicifaciens	t__SGB20252	no	NA	NA
20253	SGB20253	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Ornithobacterium	s__Ornithobacterium_sp_OH_22767	t__SGB20253	no	NA	NA
20254	SGB20254	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Ornithobacterium	s__Ornithobacterium_rhinotracheale	t__SGB20254	no	NA	NA
20255	SGB20255	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Balneicellaceae	g__Balneicella	s__Balneicella_halophila	t__SGB20255	no	NA	NA
20256	SGB20256	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Ichthyobacteriaceae	g__Ichthyobacterium	s__Ichthyobacterium_seriolicida	t__SGB20256	no	NA	NA
20258	SGB20258	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_sp	t__SGB20258	no	NA	NA
20259	SGB20259	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_niastensis	t__SGB20259	no	NA	NA
20260	SGB20260	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_sp_GDMCC_1_1288	t__SGB20260	no	NA	NA
20261	SGB20261	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_sp_GDMCC_1_1325	t__SGB20261	no	NA	NA
20262	SGB20262	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_sp	t__SGB20262	no	NA	NA
20263	SGB20263	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_dinghuensis	t__SGB20263	no	NA	NA
20264	SGB20264	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_sp_S165	t__SGB20264	no	NA	NA
20265	SGB20265	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_ginsengisoli	t__SGB20265	no	NA	NA
20266	SGB20266	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_sp_K20C18050901	t__SGB20266	no	NA	NA
20267	SGB20267	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_costaii	t__SGB20267	no	NA	NA
20268	SGB20268	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_parva	t__SGB20268	no	NA	NA
20269	SGB20269	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_rhizosphaerae	t__SGB20269	no	NA	NA
20270	SGB20270	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_sp	t__SGB20270	no	NA	NA
20271	SGB20271	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_barathri	t__SGB20271	no	NA	NA
20272	SGB20272	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_sp	t__SGB20272	no	NA	NA
20273	SGB20273	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_sp	t__SGB20273	no	NA	NA
20274	SGB20274	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophaga	s__Chitinophaga_skermanii	t__SGB20274	no	NA	NA
20275	SGB20275	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidales_unclassified	g__Bacteroidales_unclassified	s__Bacteroidales_bacterium_36_12	t__SGB20275	no	NA	NA
20276	SGB20276	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes_unclassified	o__Bacteroidetes_unclassified	f__Bacteroidetes_unclassified	g__Bacteroidetes_unclassified	s__Bacteroidetes_bacterium_47_18	t__SGB20276	no	NA	NA
20277	SGB20277	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Flavipsychrobacter	s__Flavipsychrobacter_stenotrophus	t__SGB20277	no	NA	NA
20278	SGB20278	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Taibaiella	s__Taibaiella_soli	t__SGB20278	no	NA	NA
20279	SGB20279	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes_unclassified	o__Bacteroidetes_unclassified	f__Bacteroidetes_unclassified	g__Bacteroidetes_unclassified	s__Bacteroidetes_bacterium_43_93	t__SGB20279	no	NA	NA
20280	SGB20280	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Taibaiella	s__Taibaiella_sp	t__SGB20280	no	NA	NA
20281	SGB20281	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Chitinophagaceae_unclassified	s__Chitinophagaceae_bacterium_HME-24	t__SGB20281	no	NA	NA
20282	SGB20282	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Taibaiella	s__Taibaiella_sp	t__SGB20282	no	NA	NA
20283	SGB20283	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Taibaiella	s__Taibaiella_koreensis	t__SGB20283	no	NA	NA
20284	SGB20284	k__Bacteria	p__Bacteroidetes	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Taibaiella	s__Taibaiella_chishuiensis	t__SGB20284	no	NA	NA
20285	SGB20285	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_gobiense	t__SGB20285	no	NA	NA
20286	SGB20286	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_haloxyli	t__SGB20286	no	NA	NA
20287	SGB20287	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_sp	t__SGB20287	no	NA	NA
20288	SGB20288	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_sp	t__SGB20288	no	NA	NA
20289	SGB20289	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_sp_2c_3	t__SGB20289	no	NA	NA
20290	SGB20290	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_paludis	t__SGB20290	no	NA	NA
20292	SGB20292	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_faecium	t__SGB20292	no	NA	NA
20296	SGB20296	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_sp	t__SGB20296	no	NA	NA
20297	SGB20297	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_sp_M46	t__SGB20297	no	NA	NA
20298	SGB20298	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_sp	t__SGB20298	no	NA	NA
20299	SGB20299	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_detergens	t__SGB20299	no	NA	NA
20300	SGB20300	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_sp	t__SGB20300	no	NA	NA
20302	SGB20302	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_sp	t__SGB20302	no	NA	NA
20303	SGB20303	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_alimentarium	t__SGB20303	no	NA	NA
20304	SGB20304	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_sp	t__SGB20304	no	NA	NA
20305	SGB20305	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	s__Sphingobacterium_yanglingense	t__SGB20305	no	NA	NA
20307	SGB20307	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacteriaceae_unclassified	s__Sphingobacteriaceae_bacterium_DW12	t__SGB20307	no	NA	NA
20309	SGB20309	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Olivibacter	s__Olivibacter_sp	t__SGB20309	no	NA	NA
20310	SGB20310	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Olivibacter	s__Olivibacter_sitiensis	t__SGB20310	no	NA	NA
20311	SGB20311	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp	t__SGB20311	no	NA	NA
20312	SGB20312	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_bauzanensis	t__SGB20312	no	NA	NA
20313	SGB20313	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_oryzae	t__SGB20313	no	NA	NA
20314	SGB20314	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp	t__SGB20314	no	NA	NA
20315	SGB20315	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp_ZR32	t__SGB20315	no	NA	NA
20316	SGB20316	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_yixingensis	t__SGB20316	no	NA	NA
20317	SGB20317	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_kameinonensis	t__SGB20317	no	NA	NA
20318	SGB20318	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp	t__SGB20318	no	NA	NA
20320	SGB20320	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp	t__SGB20320	no	NA	NA
20321	SGB20321	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp_OV119	t__SGB20321	no	NA	NA
20322	SGB20322	k__Bacteria	p__Bacteroidetes	c__Bacteroidetes_unclassified	o__Bacteroidetes_unclassified	f__Bacteroidetes_unclassified	g__Bacteroidetes_unclassified	s__Cytophagales_bacterium_B6	t__SGB20322	no	NA	NA
20323	SGB20323	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp	t__SGB20323	no	NA	NA
20324	SGB20324	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_phyllosphaerae	t__SGB20324	no	NA	NA
20325	SGB20325	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp	t__SGB20325	no	NA	NA
20326	SGB20326	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp	t__SGB20326	no	NA	NA
20327	SGB20327	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp	t__SGB20327	no	NA	NA
20328	SGB20328	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp_44_25	t__SGB20328	no	NA	NA
20329	SGB20329	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp_MD40	t__SGB20329	no	NA	NA
20330	SGB20330	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp_MYSH2	t__SGB20330	no	NA	NA
20331	SGB20331	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_psychrotolerans	t__SGB20331	no	NA	NA
20332	SGB20332	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_sp	t__SGB20332	no	NA	NA
20333	SGB20333	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_terrae	t__SGB20333	no	NA	NA
20334	SGB20334	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_auburnensis	t__SGB20334	no	NA	NA
20335	SGB20335	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__Mucilaginibacter_gracilis	t__SGB20335	no	NA	NA
20336	SGB20336	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pelobium	s__Pelobium_manganitolerans	t__SGB20336	no	NA	NA
20337	SGB20337	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_arcticus	t__SGB20337	no	NA	NA
20338	SGB20338	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_glucosidilyticus	t__SGB20338	no	NA	NA
20339	SGB20339	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_yulinensis	t__SGB20339	no	NA	NA
20340	SGB20340	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp	t__SGB20340	no	NA	NA
20341	SGB20341	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_alluvionis	t__SGB20341	no	NA	NA
20342	SGB20342	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp	t__SGB20342	no	NA	NA
20343	SGB20343	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_borealis	t__SGB20343	no	NA	NA
20344	SGB20344	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_kyonggii	t__SGB20344	no	NA	NA
20345	SGB20345	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp_OV280	t__SGB20345	no	NA	NA
20346	SGB20346	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp_OK291	t__SGB20346	no	NA	NA
20347	SGB20347	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp	t__SGB20347	no	NA	NA
20348	SGB20348	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp_RS10	t__SGB20348	no	NA	NA
20349	SGB20349	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_jeongneungensis	t__SGB20349	no	NA	NA
20351	SGB20351	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp	t__SGB20351	no	NA	NA
20352	SGB20352	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp	t__SGB20352	no	NA	NA
20353	SGB20353	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_psychrotolerans	t__SGB20353	no	NA	NA
20354	SGB20354	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp_R_8	t__SGB20354	no	NA	NA
20355	SGB20355	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_yonginense	t__SGB20355	no	NA	NA
20356	SGB20356	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_agri	t__SGB20356	no	NA	NA
20357	SGB20357	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp_JDX94	t__SGB20357	no	NA	NA
20358	SGB20358	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp	t__SGB20358	no	NA	NA
20359	SGB20359	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_jejuensis	t__SGB20359	no	NA	NA
20360	SGB20360	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp	t__SGB20360	no	NA	NA
20361	SGB20361	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp	t__SGB20361	no	NA	NA
20362	SGB20362	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp	t__SGB20362	no	NA	NA
20363	SGB20363	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_chitinilyticus	t__SGB20363	no	NA	NA
20364	SGB20364	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_nanyangensis	t__SGB20364	no	NA	NA
20365	SGB20365	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Nubsella	s__Nubsella_zeaxanthinifaciens	t__SGB20365	no	NA	NA
20366	SGB20366	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_namyangjuensis	t__SGB20366	no	NA	NA
20367	SGB20367	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp	t__SGB20367	no	NA	NA
20368	SGB20368	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_sp_YR016	t__SGB20368	no	NA	NA
20369	SGB20369	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	s__Pedobacter_panaciterrae	t__SGB20369	no	NA	NA
